title,author,publisher,year,source,price,currency,url
The Close-Up Magic of Aldo Colombini,Aldo Colombini,L & L Publishing,1994,qtte_secondary,70.0,USD,https://quickerthantheeye.com/p/cards/the-close-up-magic-of-aldo-colombini-29330
Cardmagic,Richard Kaufman,Richard Kaufman and Alan Greenberg,1979,qtte_secondary,30.0,USD,https://quickerthantheeye.com/p/cards/cardmagic-23872
Roger Klause in Concert,Lance Pierce,L & L Publishing,1992,qtte_secondary,30.0,USD,https://quickerthantheeye.com/p/cards/roger-klause-in-concert-29303
Tricks You Can Count On,Verne Chesbro and Larry West,,,qtte_secondary,10.0,USD,https://quickerthantheeye.com/p/cards/Tricks_You_Can_Count_On-33236
"New Wave Thaumatology, Issue One-Four",Richard Kaufman,Meir Yedid,1982-1989,qtte_secondary,40.0,USD,https://quickerthantheeye.com/p/cards/New_Wave_Thaumatology_Issue_One_Four-33235
"Poker Demonstration: The Classics of Magic, Volume Four",Tom Osbourne,,1946,qtte_secondary,20.0,USD,https://quickerthantheeye.com/p/gambling/Poker_Demonstration_The_Classics_of_Magic_Volume_Four-33234
Tricks with Daub,Edward Marlo,The Ireland Magic Co,,qtte_secondary,12.0,USD,https://quickerthantheeye.com/p/cards/Tricks_with_Daub-33233
Off the Top,Edward Marlo,L.L. Ireland,c. 1945,qtte_secondary,15.0,USD,https://quickerthantheeye.com/p/cards/Off_the_Top-33232
Miracle Card Changes,Edward Marlo,,1954,qtte_secondary,15.0,USD,https://quickerthantheeye.com/p/cards/Miracle_Card_Changes-33231
Life Savers,Michael Weber,Richard Kaufman and Alan Greenberg,1991,qtte_secondary,175.0,USD,https://quickerthantheeye.com/p/close-up/Life_Savers-33230
